country,Clade,cases,deaths,cases_category,deaths_category,data_as_of,
Afghanistan,Not reported,0,0,0,0,09-Oct-24,
Albania,Not reported,0,0,0,0,09-Oct-24,
Algeria,Not reported,0,0,0,0,09-Oct-24,
American Samoa,Not reported,0,0,0,0,09-Oct-24,
Andorra,Not reported,0,0,0,0,09-Oct-24,
Angola,Not reported,0,0,0,0,09-Oct-24,
Anguilla,Not reported,0,0,0,0,09-Oct-24,
Antigua and Barbuda,Not reported,0,0,0,0,09-Oct-24,
Argentina,Clade II,32,0,26 - 100,0,09-Oct-24,
Armenia,Not reported,0,0,0,0,09-Oct-24,
Aruba,Not reported,0,0,0,0,09-Oct-24,
Australia,Clade II,573,0,> 500,0,09-Oct-24,
Austria,Clade II,12,1,Nov-25,01-Oct,09-Oct-24,01-Oct
Azerbaijan,Not reported,0,0,0,0,09-Oct-24,Nov-25
Bahamas,Not reported,0,0,0,0,09-Oct-24,
Bahrain,Not reported,0,0,0,0,09-Oct-24,
Bangladesh,Not reported,0,0,0,0,09-Oct-24,
Barbados,Not reported,0,0,0,0,09-Oct-24,
Belarus,Not reported,0,0,0,0,09-Oct-24,
Belgium,Clade II,14,0,Nov-25,0,09-Oct-24,
Belize,Not reported,0,0,0,0,09-Oct-24,
Benin,Not reported,0,0,0,0,09-Oct-24,
Bermuda,Not reported,0,0,0,0,09-Oct-24,
Bhutan,Not reported,0,0,0,0,09-Oct-24,
Bolivia,Clade II,1,0,01-Oct,0,09-Oct-24,
"Bonaire, Sint Eustatius and Saba",Not reported,0,0,0,0,09-Oct-24,
Bosnia and Herzegovina,Not reported,0,0,0,0,09-Oct-24,
Botswana,Not reported,0,0,0,0,09-Oct-24,
Brazil,Clade II,728,0,> 500,0,09-Oct-24,
Brunei,Not reported,0,0,0,0,09-Oct-24,
Bulgaria,Clade II,1,0,01-Oct,0,09-Oct-24,
Burkina Faso,Not reported,0,0,0,0,09-Oct-24,
Burma,Not reported,0,0,0,0,09-Oct-24,
Burundi,Clade I,564,0,> 500,0,09-Oct-24,
Cabo Verde,Not reported,0,0,0,0,09-Oct-24,
Cambodia,Clade II,12,0,Nov-25,0,09-Oct-24,
Cameroon,Clade I and Clade II,6,2,01-Oct,01-Oct,09-Oct-24,
Canada,Clade II,178,0,101 - 500,0,09-Oct-24,
Cayman Islands,Not reported,0,0,0,0,09-Oct-24,
Central African Republic,Clade I,50,1,26 - 100,01-Oct,09-Oct-24,
Chad,Not reported,0,0,0,0,09-Oct-24,
